
══════════════════════════════════════════════════════════════════════
  CONCURRENT EXPERIMENT PLAN  ─  Kiến Trúc Song Song Hoàn Chỉnh
══════════════════════════════════════════════════════════════════════
  GPU              : 3  (CUDA_VISIBLE_DEVICES=3)
  Target(s)        : ['XANG', 'DAU']
  Models           : 47
  Horizons         : [1, 3, 5, 7, 10, 20, 60]
  Seeds            : [9999]
  Total planned    : 658
  Jobs to run      : 658
  Max concurrent   : 7  (auto VRAM-aware)
  Per-job timeout  : Unlimited (không giới hạn)
  Retries          : 1
  Results dir      : results_v4/
  Error logs       : logs_v4/errors/
  Dry run          : False

  Models (47):
    [01] DLinear                ~ 400 MB VRAM
    [02] RLinear                ~ 400 MB VRAM
    [03] LTSF_Linear            ~ 400 MB VRAM
    [04] NBEATS                 ~ 700 MB VRAM
    [05] NHits                  ~ 700 MB VRAM
    [06] PatchTST               ~1800 MB VRAM
    [07] TFT                    ~ 900 MB VRAM
    [08] Autoformer             ~1800 MB VRAM
    [09] FedFormer              ~1800 MB VRAM
    [10] Informer               ~1500 MB VRAM
    [11] Reformer               ~1500 MB VRAM
    [12] iTransformer           ~1500 MB VRAM
    [13] UniTS                  ~1500 MB VRAM
    [14] TimeXer                ~1200 MB VRAM
    [15] Crossformer            ~1200 MB VRAM
    [16] CARD                   ~1200 MB VRAM
    [17] TimesNet               ~1200 MB VRAM
    [18] TimeMixer              ~1200 MB VRAM
    [19] TTM                    ~1200 MB VRAM
    [20] FITS                   ~ 600 MB VRAM
    [21] CoST                   ~ 700 MB VRAM
    [22] TimeMachine            ~1800 MB VRAM
    [23] S_Mamba                ~2000 MB VRAM
    [24] MambaFormer            ~2000 MB VRAM
    [25] BiMamba                ~1800 MB VRAM
    [26] Chronos                ~4500 MB VRAM
    [27] TimesFM                ~4500 MB VRAM
    [28] Moirai                 ~4500 MB VRAM
    [29] Lag_Llama              ~4000 MB VRAM
    [30] TEMPO                  ~3500 MB VRAM
    [31] GPT4TS                 ~3500 MB VRAM
    [32] Time_MoE               ~ 800 MB VRAM
    [33] Gated_TabNet           ~ 500 MB VRAM
    [34] GUMNet                 ~ 900 MB VRAM
    [35] GUMNet_Mamba           ~1800 MB VRAM
    [36] GUMNet_iTrans          ~1500 MB VRAM
    [37] GUMNet_Wavelet         ~1200 MB VRAM
    [38] GUMNet_Patch           ~1000 MB VRAM
    [39] GUMNet_Fourier         ~ 800 MB VRAM
    [40] GUMNet_Diffusion       ~2500 MB VRAM
    [41] GUMNet_Graph           ~2500 MB VRAM
    [42] GUMNet_RL              ~2000 MB VRAM
    [43] GUMNet_MoE_Sparse      ~ 800 MB VRAM
    [44] GUMNet_Fusion          ~3000 MB VRAM
    [45] GUMNet_Decomp          ~ 800 MB VRAM
    [46] GUMNet_Adaptive        ~ 900 MB VRAM
    [47] GUMNetHet              ~ 800 MB VRAM
══════════════════════════════════════════════════════════════════════

[GPU3] Starting 658 jobs with 7 concurrent workers...
[GPU3] Log: /data/quyhv/oil_forecast_tail_risk/logs_v4/concurrent_gpu3_20260817_015426.log

[   1/658]   0.2% | OK:1    FAIL:0    SKIP:0   | OK           | 11788s | ETA:129077m | NBEATS|XANG|H1|s9999
[ 162/658]  24.6% | OK:162  FAIL:0    SKIP:0   | OK           | 2845s | ETA:13278m | FITS|XANG|H7|s9999
[ 163/658]  24.8% | OK:163  FAIL:0    SKIP:0   | OK           | 3099s | ETA:13236m | S_Mamba|XANG|H7|s9999
[ 164/658]  24.9% | OK:164  FAIL:0    SKIP:0   | OK           | 3413s | ETA:13151m | MambaFormer|XANG|H7|s9999
[ 165/658]  25.1% | OK:165  FAIL:0    SKIP:0   | OK           | 2506s | ETA:13051m | Chronos|XANG|H7|s9999
[ 166/658]  25.2% | OK:166  FAIL:0    SKIP:0   | OK           | 2425s | ETA:12967m | TimesFM|XANG|H7|s9999
[ 167/658]  25.4% | OK:167  FAIL:0    SKIP:0   | OK           | 5102s | ETA:12889m | TimeMachine|XANG|H7|s9999
[ 168/658]  25.5% | OK:168  FAIL:0    SKIP:0   | OK           | 4201s | ETA:12788m | BiMamba|XANG|H7|s9999
[ 169/658]  25.7% | OK:169  FAIL:0    SKIP:0   | OK           | 3676s | ETA:12726m | Moirai|XANG|H7|s9999
[ 170/658]  25.8% | OK:170  FAIL:0    SKIP:0   | OK           | 2506s | ETA:12632m | Lag_Llama|XANG|H7|s9999
[ 171/658]  26.0% | OK:171  FAIL:0    SKIP:0   | OK           | 2606s | ETA:12557m | TEMPO|XANG|H7|s9999
[ 172/658]  26.1% | OK:172  FAIL:0    SKIP:0   | OK           | 2712s | ETA:12470m | GPT4TS|XANG|H7|s9999
[ 173/658]  26.3% | OK:173  FAIL:0    SKIP:0   | OK           | 2261s | ETA:12396m | Gated_TabNet|XANG|H7|s9999
[ 174/658]  26.4% | OK:174  FAIL:0    SKIP:0   | OK           | 3552s | ETA:12334m | Time_MoE|XANG|H7|s9999
[ 175/658]  26.6% | OK:175  FAIL:0    SKIP:0   | OK           | 5207s | ETA:12341m | GUMNet|XANG|H7|s9999
[ 176/658]  26.7% | OK:176  FAIL:0    SKIP:0   | OK           | 10485s | ETA:12523m | GUMNet_Mamba|XANG|H7|s9999
[ 177/658]  26.9% | OK:177  FAIL:0    SKIP:0   | OK           | 10062s | ETA:12449m | GUMNet_Patch|XANG|H7|s9999
[ 178/658]  27.1% | OK:178  FAIL:0    SKIP:0   | OK           | 10903s | ETA:12380m | GUMNet_Wavelet|XANG|H7|s9999
[ 179/658]  27.2% | OK:179  FAIL:0    SKIP:0   | OK           | 11650s | ETA:12295m | GUMNet_iTrans|XANG|H7|s9999
[ 180/658]  27.4% | OK:180  FAIL:0    SKIP:0   | OK           | 11108s | ETA:12233m | GUMNet_Fourier|XANG|H7|s9999
[ 181/658]  27.5% | OK:181  FAIL:0    SKIP:0   | OK           | 12203s | ETA:12222m | GUMNet_Diffusion|XANG|H7|s9999
[ 182/658]  27.7% | OK:182  FAIL:0    SKIP:0   | OK           | 10954s | ETA:12171m | GUMNet_Graph|XANG|H7|s9999
[ 183/658]  27.8% | OK:183  FAIL:0    SKIP:0   | OK           | 2344s | ETA:12139m | GUMNetHet|XANG|H7|s9999
[ 184/658]  28.0% | OK:184  FAIL:0    SKIP:0   | OK           | 3910s | ETA:12156m | DLinear|XANG|H10|s9999
[ 185/658]  28.1% | OK:185  FAIL:0    SKIP:0   | OK           | 10022s | ETA:12119m | GUMNet_RL|XANG|H7|s9999
[ 186/658]  28.3% | OK:186  FAIL:0    SKIP:0   | OK           | 9791s | ETA:12073m | GUMNet_Decomp|XANG|H7|s9999
[ 187/658]  28.4% | OK:187  FAIL:0    SKIP:0   | OK           | 4945s | ETA:11987m | RLinear|XANG|H10|s9999
[ 188/658]  28.6% | OK:188  FAIL:0    SKIP:0   | OK           | 3918s | ETA:11961m | LTSF_Linear|XANG|H10|s9999
[ 189/658]  28.7% | OK:189  FAIL:0    SKIP:0   | OK           | 12420s | ETA:11906m | GUMNet_Fusion|XANG|H7|s9999
[ 190/658]  28.9% | OK:190  FAIL:0    SKIP:0   | OK           | 11884s | ETA:11835m | GUMNet_Adaptive|XANG|H7|s9999
[ 191/658]  29.0% | OK:191  FAIL:0    SKIP:0   | OK           | 4167s | ETA:11759m | NBEATS|XANG|H10|s9999
[ 192/658]  29.2% | OK:192  FAIL:0    SKIP:0   | OK           | 4238s | ETA:11719m | NHits|XANG|H10|s9999
[ 193/658]  29.3% | OK:193  FAIL:0    SKIP:0   | OK           | 4854s | ETA:11661m | PatchTST|XANG|H10|s9999
[ 194/658]  29.5% | OK:194  FAIL:0    SKIP:0   | OK           | 3146s | ETA:11601m | Autoformer|XANG|H10|s9999
[ 195/658]  29.6% | OK:195  FAIL:0    SKIP:0   | OK           | 3121s | ETA:11532m | FedFormer|XANG|H10|s9999
[ 196/658]  29.8% | OK:196  FAIL:0    SKIP:0   | OK           | 4373s | ETA:11449m | TFT|XANG|H10|s9999
[ 197/658]  29.9% | OK:197  FAIL:0    SKIP:0   | OK           | 16917s | ETA:11380m | GUMNet_MoE_Sparse|XANG|H7|s9999
[ 198/658]  30.1% | OK:198  FAIL:0    SKIP:0   | OK           | 3965s | ETA:11327m | Informer|XANG|H10|s9999
[ 199/658]  30.2% | OK:199  FAIL:0    SKIP:0   | OK           | 3275s | ETA:11263m | Reformer|XANG|H10|s9999
[ 200/658]  30.4% | OK:200  FAIL:0    SKIP:0   | OK           | 3802s | ETA:11252m | UniTS|XANG|H10|s9999
[ 201/658]  30.5% | OK:201  FAIL:0    SKIP:0   | OK           | 4538s | ETA:11176m | iTransformer|XANG|H10|s9999
[ 202/658]  30.7% | OK:202  FAIL:0    SKIP:0   | OK           | 3877s | ETA:11110m | TimeXer|XANG|H10|s9999
[ 203/658]  30.9% | OK:203  FAIL:0    SKIP:0   | OK           | 3831s | ETA:11043m | CARD|XANG|H10|s9999
[ 204/658]  31.0% | OK:204  FAIL:0    SKIP:0   | OK           | 4862s | ETA:10990m | Crossformer|XANG|H10|s9999
[ 205/658]  31.2% | OK:205  FAIL:0    SKIP:0   | OK           | 4100s | ETA:10941m | TimeMixer|XANG|H10|s9999
[ 206/658]  31.3% | OK:206  FAIL:0    SKIP:0   | OK           | 5228s | ETA:10889m | TimesNet|XANG|H10|s9999
[ 207/658]  31.5% | OK:207  FAIL:0    SKIP:0   | OK           | 3386s | ETA:10845m | CoST|XANG|H10|s9999
[ 208/658]  31.6% | OK:208  FAIL:0    SKIP:0   | OK           | 4485s | ETA:10792m | TTM|XANG|H10|s9999
[ 209/658]  31.8% | OK:209  FAIL:0    SKIP:0   | OK           | 4810s | ETA:10732m | FITS|XANG|H10|s9999
[ 210/658]  31.9% | OK:210  FAIL:0    SKIP:0   | OK           | 5891s | ETA:10744m | S_Mamba|XANG|H10|s9999
[ 211/658]  32.1% | OK:211  FAIL:0    SKIP:0   | OK           | 4530s | ETA:10705m | Chronos|XANG|H10|s9999
[ 212/658]  32.2% | OK:212  FAIL:0    SKIP:0   | OK           | 6579s | ETA:10647m | MambaFormer|XANG|H10|s9999
[ 213/658]  32.4% | OK:213  FAIL:0    SKIP:0   | OK           | 4529s | ETA:10580m | TimesFM|XANG|H10|s9999
[ 214/658]  32.5% | OK:214  FAIL:0    SKIP:0   | OK           | 8308s | ETA:10509m | TimeMachine|XANG|H10|s9999
[ 215/658]  32.7% | OK:215  FAIL:0    SKIP:0   | OK           | 5194s | ETA:10472m | Moirai|XANG|H10|s9999
[ 216/658]  32.8% | OK:216  FAIL:0    SKIP:0   | OK           | 7969s | ETA:10427m | BiMamba|XANG|H10|s9999
[ 217/658]  33.0% | OK:217  FAIL:0    SKIP:0   | OK           | 4118s | ETA:10375m | Lag_Llama|XANG|H10|s9999
[ 218/658]  33.1% | OK:218  FAIL:0    SKIP:0   | OK           | 4118s | ETA:10338m | TEMPO|XANG|H10|s9999
[ 219/658]  33.3% | OK:219  FAIL:0    SKIP:0   | OK           | 4009s | ETA:10279m | GPT4TS|XANG|H10|s9999
[ 220/658]  33.4% | OK:220  FAIL:0    SKIP:0   | OK           | 3952s | ETA:10216m | Gated_TabNet|XANG|H10|s9999
[ 221/658]  33.6% | OK:221  FAIL:0    SKIP:0   | OK           | 4199s | ETA:10152m | Time_MoE|XANG|H10|s9999
[ 222/658]  33.7% | OK:222  FAIL:0    SKIP:0   | OK           | 9912s | ETA:10306m | GUMNet|XANG|H10|s9999
[ 223/658]  33.9% | OK:223  FAIL:0    SKIP:0   | OK           | 22342s | ETA:10666m | GUMNet_Mamba|XANG|H10|s9999
[ 224/658]  34.0% | OK:224  FAIL:0    SKIP:0   | OK           | 21539s | ETA:10631m | GUMNet_Patch|XANG|H10|s9999
[ 225/658]  34.2% | OK:225  FAIL:0    SKIP:0   | OK           | 21570s | ETA:10566m | GUMNet_Fourier|XANG|H10|s9999
[ 226/658]  34.3% | OK:226  FAIL:0    SKIP:0   | OK           | 22162s | ETA:10497m | GUMNet_Wavelet|XANG|H10|s9999
[ 227/658]  34.5% | OK:227  FAIL:0    SKIP:0   | OK           | 23772s | ETA:10445m | GUMNet_iTrans|XANG|H10|s9999
[ 228/658]  34.7% | OK:228  FAIL:0    SKIP:0   | OK           | 23835s | ETA:10432m | GUMNet_Diffusion|XANG|H10|s9999
[ 229/658]  34.8% | OK:229  FAIL:0    SKIP:0   | OK           | 3933s | ETA:10485m | GUMNetHet|XANG|H10|s9999
[ 230/658]  35.0% | OK:230  FAIL:0    SKIP:0   | OK           | 22554s | ETA:10464m | GUMNet_Graph|XANG|H10|s9999
[ 231/658]  35.1% | OK:231  FAIL:0    SKIP:0   | OK           | 1853s | ETA:10403m | DLinear|XANG|H20|s9999
[ 232/658]  35.3% | OK:232  FAIL:0    SKIP:0   | OK           | 1869s | ETA:10383m | RLinear|XANG|H20|s9999
[ 233/658]  35.4% | OK:233  FAIL:0    SKIP:0   | OK           | 1861s | ETA:10322m | LTSF_Linear|XANG|H20|s9999
[ 234/658]  35.6% | OK:234  FAIL:0    SKIP:0   | OK           | 2018s | ETA:10307m | NBEATS|XANG|H20|s9999
[ 235/658]  35.7% | OK:235  FAIL:0    SKIP:0   | OK           | 2080s | ETA:10248m | NHits|XANG|H20|s9999
[ 236/658]  35.9% | OK:236  FAIL:0    SKIP:0   | OK           | 2465s | ETA:10254m | TFT|XANG|H20|s9999
[ 237/658]  36.0% | OK:237  FAIL:0    SKIP:0   | OK           | 2906s | ETA:10190m | PatchTST|XANG|H20|s9999
[ 238/658]  36.2% | OK:238  FAIL:0    SKIP:0   | OK           | 1562s | ETA:10165m | Autoformer|XANG|H20|s9999
[ 239/658]  36.3% | OK:239  FAIL:0    SKIP:0   | OK           | 1554s | ETA:10102m | FedFormer|XANG|H20|s9999
