
══════════════════════════════════════════════════════════════════════
  CONCURRENT EXPERIMENT PLAN  ─  Kiến Trúc Song Song Hoàn Chỉnh
══════════════════════════════════════════════════════════════════════
  GPU              : 0  (CUDA_VISIBLE_DEVICES=0)
  Target(s)        : ['XANG', 'DAU']
  Models           : 47
  Horizons         : [1, 3, 5, 7, 10, 20, 60]
  Seeds            : [123]
  Total planned    : 658
  Jobs to run      : 658
  Max concurrent   : 7  (auto VRAM-aware)
  Per-job timeout  : Unlimited (không giới hạn)
  Retries          : 1
  Results dir      : results_v4/
  Error logs       : logs_v4/errors/
  Dry run          : False

  Models (47):
    [01] DLinear                ~ 400 MB VRAM
    [02] RLinear                ~ 400 MB VRAM
    [03] LTSF_Linear            ~ 400 MB VRAM
    [04] NBEATS                 ~ 700 MB VRAM
    [05] NHits                  ~ 700 MB VRAM
    [06] PatchTST               ~1800 MB VRAM
    [07] TFT                    ~ 900 MB VRAM
    [08] Autoformer             ~1800 MB VRAM
    [09] FedFormer              ~1800 MB VRAM
    [10] Informer               ~1500 MB VRAM
    [11] Reformer               ~1500 MB VRAM
    [12] iTransformer           ~1500 MB VRAM
    [13] UniTS                  ~1500 MB VRAM
    [14] TimeXer                ~1200 MB VRAM
    [15] Crossformer            ~1200 MB VRAM
    [16] CARD                   ~1200 MB VRAM
    [17] TimesNet               ~1200 MB VRAM
    [18] TimeMixer              ~1200 MB VRAM
    [19] TTM                    ~1200 MB VRAM
    [20] FITS                   ~ 600 MB VRAM
    [21] CoST                   ~ 700 MB VRAM
    [22] TimeMachine            ~1800 MB VRAM
    [23] S_Mamba                ~2000 MB VRAM
    [24] MambaFormer            ~2000 MB VRAM
    [25] BiMamba                ~1800 MB VRAM
    [26] Chronos                ~4500 MB VRAM
    [27] TimesFM                ~4500 MB VRAM
    [28] Moirai                 ~4500 MB VRAM
    [29] Lag_Llama              ~4000 MB VRAM
    [30] TEMPO                  ~3500 MB VRAM
    [31] GPT4TS                 ~3500 MB VRAM
    [32] Time_MoE               ~ 800 MB VRAM
    [33] Gated_TabNet           ~ 500 MB VRAM
    [34] GUMNet                 ~ 900 MB VRAM
    [35] GUMNet_Mamba           ~1800 MB VRAM
    [36] GUMNet_iTrans          ~1500 MB VRAM
    [37] GUMNet_Wavelet         ~1200 MB VRAM
    [38] GUMNet_Patch           ~1000 MB VRAM
    [39] GUMNet_Fourier         ~ 800 MB VRAM
    [40] GUMNet_Diffusion       ~2500 MB VRAM
    [41] GUMNet_Graph           ~2500 MB VRAM
    [42] GUMNet_RL              ~2000 MB VRAM
    [43] GUMNet_MoE_Sparse      ~ 800 MB VRAM
    [44] GUMNet_Fusion          ~3000 MB VRAM
    [45] GUMNet_Decomp          ~ 800 MB VRAM
    [46] GUMNet_Adaptive        ~ 900 MB VRAM
    [47] GUMNetHet              ~ 800 MB VRAM
══════════════════════════════════════════════════════════════════════

[GPU0] Starting 658 jobs with 7 concurrent workers...
[GPU0] Log: /data/quyhv/oil_forecast_tail_risk/logs_v4/concurrent_gpu0_20260817_015425.log

[   1/658]   0.2% | OK:1    FAIL:0    SKIP:0   | OK           | 12629s | ETA:138291m | NBEATS|XANG|H1|s123
[ 164/658]  24.9% | OK:164  FAIL:0    SKIP:0   | OK           | 2569s | ETA:13250m | TimesFM|XANG|H7|s123
[ 165/658]  25.1% | OK:165  FAIL:0    SKIP:0   | OK           | 2629s | ETA:13145m | Chronos|XANG|H7|s123
[ 166/658]  25.2% | OK:166  FAIL:0    SKIP:0   | OK           | 3712s | ETA:13065m | MambaFormer|XANG|H7|s123
[ 167/658]  25.4% | OK:167  FAIL:0    SKIP:0   | OK           | 3256s | ETA:12985m | Moirai|XANG|H7|s123
[ 168/658]  25.5% | OK:168  FAIL:0    SKIP:0   | OK           | 5163s | ETA:12885m | TimeMachine|XANG|H7|s123
[ 169/658]  25.7% | OK:169  FAIL:0    SKIP:0   | OK           | 4608s | ETA:12811m | BiMamba|XANG|H7|s123
[ 170/658]  25.8% | OK:170  FAIL:0    SKIP:0   | OK           | 2394s | ETA:12735m | Lag_Llama|XANG|H7|s123
[ 171/658]  26.0% | OK:171  FAIL:0    SKIP:0   | OK           | 2541s | ETA:12650m | GPT4TS|XANG|H7|s123
[ 172/658]  26.1% | OK:172  FAIL:0    SKIP:0   | OK           | 2725s | ETA:12557m | TEMPO|XANG|H7|s123
[ 173/658]  26.3% | OK:173  FAIL:0    SKIP:0   | OK           | 2316s | ETA:12490m | Gated_TabNet|XANG|H7|s123
[ 174/658]  26.4% | OK:174  FAIL:0    SKIP:0   | OK           | 4850s | ETA:12486m | Time_MoE|XANG|H7|s123
[ 175/658]  26.6% | OK:175  FAIL:0    SKIP:0   | OK           | 5090s | ETA:12427m | GUMNet|XANG|H7|s123
[ 176/658]  26.7% | OK:176  FAIL:0    SKIP:0   | OK           | 10754s | ETA:12616m | GUMNet_Mamba|XANG|H7|s123
[ 177/658]  26.9% | OK:177  FAIL:0    SKIP:0   | OK           | 10104s | ETA:12534m | GUMNet_Patch|XANG|H7|s123
[ 178/658]  27.1% | OK:178  FAIL:0    SKIP:0   | OK           | 11203s | ETA:12481m | GUMNet_Wavelet|XANG|H7|s123
[ 179/658]  27.2% | OK:179  FAIL:0    SKIP:0   | OK           | 11737s | ETA:12396m | GUMNet_iTrans|XANG|H7|s123
[ 180/658]  27.4% | OK:180  FAIL:0    SKIP:0   | OK           | 11105s | ETA:12322m | GUMNet_Fourier|XANG|H7|s123
[ 181/658]  27.5% | OK:181  FAIL:0    SKIP:0   | OK           | 11033s | ETA:12351m | GUMNet_Graph|XANG|H7|s123
[ 182/658]  27.7% | OK:182  FAIL:0    SKIP:0   | OK           | 12092s | ETA:12267m | GUMNet_Diffusion|XANG|H7|s123
[ 183/658]  27.8% | OK:183  FAIL:0    SKIP:0   | OK           | 2404s | ETA:12269m | GUMNetHet|XANG|H7|s123
[ 184/658]  28.0% | OK:184  FAIL:0    SKIP:0   | OK           | 3838s | ETA:12248m | DLinear|XANG|H10|s123
[ 185/658]  28.1% | OK:185  FAIL:0    SKIP:0   | OK           | 10059s | ETA:12207m | GUMNet_RL|XANG|H7|s123
[ 186/658]  28.3% | OK:186  FAIL:0    SKIP:0   | OK           | 10078s | ETA:12181m | GUMNet_Decomp|XANG|H7|s123
[ 187/658]  28.4% | OK:187  FAIL:0    SKIP:0   | OK           | 3844s | ETA:12136m | LTSF_Linear|XANG|H10|s123
[ 188/658]  28.6% | OK:188  FAIL:0    SKIP:0   | OK           | 5933s | ETA:12064m | RLinear|XANG|H10|s123
[ 189/658]  28.7% | OK:189  FAIL:0    SKIP:0   | OK           | 12320s | ETA:11995m | GUMNet_Fusion|XANG|H7|s123
[ 190/658]  28.9% | OK:190  FAIL:0    SKIP:0   | OK           | 12036s | ETA:11923m | GUMNet_Adaptive|XANG|H7|s123
[ 191/658]  29.0% | OK:191  FAIL:0    SKIP:0   | OK           | 4113s | ETA:11841m | NBEATS|XANG|H10|s123
[ 192/658]  29.2% | OK:192  FAIL:0    SKIP:0   | OK           | 4252s | ETA:11822m | NHits|XANG|H10|s123
[ 193/658]  29.3% | OK:193  FAIL:0    SKIP:0   | OK           | 3145s | ETA:11773m | Autoformer|XANG|H10|s123
[ 194/658]  29.5% | OK:194  FAIL:0    SKIP:0   | OK           | 16805s | ETA:11702m | GUMNet_MoE_Sparse|XANG|H7|s123
[ 195/658]  29.6% | OK:195  FAIL:0    SKIP:0   | OK           | 3143s | ETA:11618m | FedFormer|XANG|H10|s123
[ 196/658]  29.8% | OK:196  FAIL:0    SKIP:0   | OK           | 4418s | ETA:11548m | TFT|XANG|H10|s123
[ 197/658]  29.9% | OK:197  FAIL:0    SKIP:0   | OK           | 4902s | ETA:11467m | PatchTST|XANG|H10|s123
[ 198/658]  30.1% | OK:198  FAIL:0    SKIP:0   | OK           | 4025s | ETA:11407m | Informer|XANG|H10|s123
[ 199/658]  30.2% | OK:199  FAIL:0    SKIP:0   | OK           | 3412s | ETA:11366m | Reformer|XANG|H10|s123
[ 200/658]  30.4% | OK:200  FAIL:0    SKIP:0   | OK           | 3946s | ETA:11355m | UniTS|XANG|H10|s123
[ 201/658]  30.5% | OK:201  FAIL:0    SKIP:0   | OK           | 3918s | ETA:11274m | TimeXer|XANG|H10|s123
[ 202/658]  30.7% | OK:202  FAIL:0    SKIP:0   | OK           | 4534s | ETA:11201m | iTransformer|XANG|H10|s123
[ 203/658]  30.9% | OK:203  FAIL:0    SKIP:0   | OK           | 3862s | ETA:11127m | CARD|XANG|H10|s123
[ 204/658]  31.0% | OK:204  FAIL:0    SKIP:0   | OK           | 4871s | ETA:11084m | Crossformer|XANG|H10|s123
[ 205/658]  31.2% | OK:205  FAIL:0    SKIP:0   | OK           | 5222s | ETA:11042m | TimesNet|XANG|H10|s123
[ 206/658]  31.3% | OK:206  FAIL:0    SKIP:0   | OK           | 4239s | ETA:10968m | TimeMixer|XANG|H10|s123
[ 207/658]  31.5% | OK:207  FAIL:0    SKIP:0   | OK           | 3415s | ETA:10935m | CoST|XANG|H10|s123
[ 208/658]  31.6% | OK:208  FAIL:0    SKIP:0   | OK           | 4293s | ETA:10882m | TTM|XANG|H10|s123
[ 209/658]  31.8% | OK:209  FAIL:0    SKIP:0   | OK           | 4901s | ETA:10828m | FITS|XANG|H10|s123
[ 210/658]  31.9% | OK:210  FAIL:0    SKIP:0   | OK           | 6128s | ETA:10843m | S_Mamba|XANG|H10|s123
[ 211/658]  32.1% | OK:211  FAIL:0    SKIP:0   | OK           | 4567s | ETA:10793m | Chronos|XANG|H10|s123
[ 212/658]  32.2% | OK:212  FAIL:0    SKIP:0   | OK           | 8143s | ETA:10730m | TimeMachine|XANG|H10|s123
[ 213/658]  32.4% | OK:213  FAIL:0    SKIP:0   | OK           | 4571s | ETA:10668m | TimesFM|XANG|H10|s123
[ 214/658]  32.5% | OK:214  FAIL:0    SKIP:0   | OK           | 6688s | ETA:10599m | MambaFormer|XANG|H10|s123
[ 215/658]  32.7% | OK:215  FAIL:0    SKIP:0   | OK           | 7800s | ETA:10567m | BiMamba|XANG|H10|s123
[ 216/658]  32.8% | OK:216  FAIL:0    SKIP:0   | OK           | 5370s | ETA:10497m | Moirai|XANG|H10|s123
[ 217/658]  33.0% | OK:217  FAIL:0    SKIP:0   | OK           | 4170s | ETA:10470m | Lag_Llama|XANG|H10|s123
[ 218/658]  33.1% | OK:218  FAIL:0    SKIP:0   | OK           | 4011s | ETA:10418m | TEMPO|XANG|H10|s123
[ 219/658]  33.3% | OK:219  FAIL:0    SKIP:0   | OK           | 4049s | ETA:10359m | GPT4TS|XANG|H10|s123
[ 220/658]  33.4% | OK:220  FAIL:0    SKIP:0   | OK           | 4034s | ETA:10300m | Time_MoE|XANG|H10|s123
[ 221/658]  33.6% | OK:221  FAIL:0    SKIP:0   | OK           | 3913s | ETA:10230m | Gated_TabNet|XANG|H10|s123
[ 222/658]  33.7% | OK:222  FAIL:0    SKIP:0   | OK           | 9929s | ETA:10397m | GUMNet|XANG|H10|s123
[ 223/658]  33.9% | OK:223  FAIL:0    SKIP:0   | OK           | 22353s | ETA:10733m | GUMNet_Mamba|XANG|H10|s123
[ 224/658]  34.0% | OK:224  FAIL:0    SKIP:0   | OK           | 21692s | ETA:10713m | GUMNet_Patch|XANG|H10|s123
[ 225/658]  34.2% | OK:225  FAIL:0    SKIP:0   | OK           | 22294s | ETA:10649m | GUMNet_Wavelet|XANG|H10|s123
[ 226/658]  34.3% | OK:226  FAIL:0    SKIP:0   | OK           | 21743s | ETA:10581m | GUMNet_Fourier|XANG|H10|s123
[ 227/658]  34.5% | OK:227  FAIL:0    SKIP:0   | OK           | 23812s | ETA:10535m | GUMNet_iTrans|XANG|H10|s123
[ 228/658]  34.7% | OK:228  FAIL:0    SKIP:0   | OK           | 24630s | ETA:10532m | GUMNet_Diffusion|XANG|H10|s123
[ 229/658]  34.8% | OK:229  FAIL:0    SKIP:0   | OK           | 3991s | ETA:10586m | GUMNetHet|XANG|H10|s123
[ 230/658]  35.0% | OK:230  FAIL:0    SKIP:0   | OK           | 22689s | ETA:10555m | GUMNet_Graph|XANG|H10|s123
[ 231/658]  35.1% | OK:231  FAIL:0    SKIP:0   | OK           | 1863s | ETA:10503m | DLinear|XANG|H20|s123
[ 232/658]  35.3% | OK:232  FAIL:0    SKIP:0   | OK           | 2006s | ETA:10477m | RLinear|XANG|H20|s123
[ 233/658]  35.4% | OK:233  FAIL:0    SKIP:0   | OK           | 1852s | ETA:10420m | LTSF_Linear|XANG|H20|s123
[ 234/658]  35.6% | OK:234  FAIL:0    SKIP:0   | OK           | 2048s | ETA:10400m | NBEATS|XANG|H20|s123
[ 235/658]  35.7% | OK:235  FAIL:0    SKIP:0   | OK           | 2080s | ETA:10345m | NHits|XANG|H20|s123
